ID,Type,Power,Radius,longX,latY
1001,U,1,12,-4.269639,55.881556
1002,U,4,3,-4.309258,55.853206
1003,U,1,7,-3.476928,56.409686
1004,U,4,11,-4.058503,55.782156
1005,U,1,8,-2.088889,57.159167
1006,U,4,7,-4.508122,55.604225
1007,U,1,4,56.075308,-3.441906
1008,U,4,9,55.961667,-3.165556
1009,U,1,5,56.005136,-3.754269
1010,U,4,7,55.779947,-3.980078
1011,U,1,12,55.881556,-4.269639
1012,U,4,10,55.853206,-4.309258
1013,U,1,14,56.409686,-3.476928
1014,U,4,15,55.782156,-4.058503
1015,U,1,5,57.159167,-2.088889
1016,U,4,12,55.604225,-4.508122
1017,U,1,3,55.850556,-4.443889
1018,U,4,19,56.474703,-2.968961
1019,U,4,20,55.939167,-3.232222
1020,U,4,14,57.595947,-4.418914
